"EVENT","CATEGORY","LEVEL","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"levelStarted","CUT_TO_SAVE","3","19","0.0013","19","1","0.0263","723"
"levelStarted","CAR_PARK","5","19","0.0013","19","1","0.0263","723"
"levelStarted","MR_BULLET","15","19","0.0013","19","1","0.0263","723"
"levelStarted","EASY","49","19","0.0013","19","1","0.0263","723"
"levelStarted","MR_BULLET","13","19","0.0013","19","1","0.0263","723"
"levelStarted","CUT_TO_SAVE","5","19","0.0013","19","1","0.0263","723"
"levelStarted","TRICKY","1","19","0.0013","19","1","0.0263","723"
"levelStarted","MR_BULLET","19","19","0.0013","19","1","0.0263","723"
"levelStarted","TRICKY","4","19","0.0013","19","1","0.0263","723"
"levelStarted","DETECTIVE_CASES","46","19","0.0013","19","1","0.0263","723"
"levelStarted","DETECTIVE_CASES","58","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","REMEMBER_FACE","3","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","DRAW_TO_SAVE","22","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","CAR_PARK","8","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","TRICKY","19","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","CUT_TO_SAVE","2","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","DETECTIVE_CASES","49","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","CUT_TO_SAVE","11","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","EASY","57","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","CUT_TO_SAVE","1","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","MR_BULLET","18","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","DETECTIVE_CASES","32","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","EASY","25","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","TRICKY","8","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","CAR_PARK","9","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","EASY","80","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","DRAW_TO_SAVE","30","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","DETECTIVE_CASES","20","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","TRICKY","20","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","TRICKY","2","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","DETECTIVE_CASES","21","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","MR_BULLET","14","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","CAR_PARK","7","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","DETECTIVE_CASES","54","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","CUT_TO_SAVE","4","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","CUT_TO_SAVE","6","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","DETECTIVE_CASES","51","18","0.0012","18","1","0.024900000000000002","723"
"levelStarted","CAR_PARK","6","17","0.0011","17","1","0.0235","723"
"levelStarted","DETECTIVE_CASES","57","17","0.0011","17","1","0.0235","723"
"levelStarted","DETECTIVE_CASES","59","17","0.0011","17","1","0.0235","723"
"levelStarted","EASY","54","17","0.0011","17","1","0.0235","723"
"levelStarted","EASY","53","17","0.0011","17","1","0.0235","723"
"levelStarted","DRAW_TO_SAVE","31","17","0.0011","17","1","0.0235","723"
"levelStarted","MR_BULLET","20","17","0.0011","17","1","0.0235","723"
"levelStarted","DETECTIVE_CASES","25","17","0.0011","17","1","0.0235","723"
"levelStarted","DRAW_TO_SAVE","35","17","0.0011","17","1","0.0235","723"
"levelStarted","DRAW_TO_SAVE","29","17","0.0011","17","1","0.0235","723"
"levelStarted","DETECTIVE_CASES","53","17","0.0011","17","1","0.0235","723"
"levelStarted","FLASHBACK","2","17","0.0011","17","1","0.0235","723"
"levelStarted","EASY","58","17","0.0011","17","1","0.0235","723"
"levelStarted","REMEMBER_FACE","2","17","0.0011","17","1","0.0235","723"
"levelStarted","DRAW_TO_SAVE","34","17","0.0011","17","1","0.0235","723"
"levelStarted","DETECTIVE_CASES","18","17","0.0011","17","1","0.0235","723"
"levelStarted","CUT_TO_SAVE","9","17","0.0011","17","1","0.0235","723"
"levelStarted","DETECTIVE_CASES","23","17","0.0011","17","1","0.0235","723"
"levelStarted","EASY","82","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","59","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","91","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","92","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","26","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","CAR_PARK","10","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DETECTIVE_CASES","71","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","FLASHBACK","1","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","64","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DETECTIVE_CASES","17","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","72","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","63","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","FLASHBACK","3","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DETECTIVE_CASES","26","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","88","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DRAW_TO_SAVE","58","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","23","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DETECTIVE_CASES","15","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","62","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","25","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DRAW_TO_SAVE","33","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","78","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","33","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","62","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","87","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DRAW_TO_SAVE","41","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","50","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","34","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","51","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","66","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DRAW_TO_SAVE","57","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DETECTIVE_CASES","28","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","65","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","REMEMBER_FACE","6","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","40","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","71","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","SAVE_CIVILIAN","1","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","85","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DRAW_TO_SAVE","23","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DETECTIVE_CASES","16","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DRAW_TO_SAVE","40","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","84","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DETECTIVE_CASES","13","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","24","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","60","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","49","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","52","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DETECTIVE_CASES","60","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DETECTIVE_CASES","52","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","68","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","TRICKY","64","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","MR_BULLET","89","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","65","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","83","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","DRAW_TO_SAVE","59","16","0.0011","16","1","0.022099999999999998","723"
"levelStarted","EASY","79","15","0.001","15","1","0.0207","723"
"levelStarted","DRAW_TO_SAVE","53","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","38","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","86","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","50","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","94","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","90","15","0.001","15","1","0.0207","723"
"levelStarted","DETECTIVE_CASES","55","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","35","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","70","15","0.001","15","1","0.0207","723"
"levelStarted","DETECTIVE_CASES","56","15","0.001","15","1","0.0207","723"
"levelStarted","EASY","71","15","0.001","15","1","0.0207","723"
"levelStarted","EASY","72","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","68","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","32","15","0.001","15","1","0.0207","723"
"levelStarted","EASY","64","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","21","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","91","15","0.001","15","1","0.0207","723"
"levelStarted","CAR_PARK","13","15","0.001","15","1","0.0207","723"
"levelStarted","DRAW_TO_SAVE","24","15","0.001","15","1","0.0207","723"
"levelStarted","INTEROGATION","2","15","0.001","15","1","0.0207","723"
"levelStarted","EASY","59","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","13","15","0.001","15","1","0.0207","723"
"levelStarted","FLASHBACK","26","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","15","15","0.001","15","1","0.0207","723"
"levelStarted","INTEROGATION","1","15","0.001","15","1","0.0207","723"
"levelStarted","REMEMBER_FACE","5","15","0.001","15","1","0.0207","723"
"levelStarted","SAVE_CIVILIAN","2","15","0.001","15","1","0.0207","723"
"levelStarted","DRAW_TO_SAVE","50","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","70","15","0.001","15","1","0.0207","723"
"levelStarted","DETECTIVE_CASES","70","15","0.001","15","1","0.0207","723"
"levelStarted","CUT_TO_SAVE","15","15","0.001","15","1","0.0207","723"
"levelStarted","EASY","55","15","0.001","15","1","0.0207","723"
"levelStarted","DETECTIVE_CASES","14","15","0.001","15","1","0.0207","723"
"levelStarted","FLASHBACK","27","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","63","15","0.001","15","1","0.0207","723"
"levelStarted","DRAW_TO_SAVE","36","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","31","15","0.001","15","1","0.0207","723"
"levelStarted","DRAW_TO_SAVE","39","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","73","15","0.001","15","1","0.0207","723"
"levelStarted","DETECTIVE_CASES","30","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","61","15","0.001","15","1","0.0207","723"
"levelStarted","DRAW_TO_SAVE","32","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","84","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","107","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","63","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","90","15","0.001","15","1","0.0207","723"
"levelStarted","DRAW_TO_SAVE","28","15","0.001","15","1","0.0207","723"
"levelStarted","DETECTIVE_CASES","61","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","71","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","33","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","69","15","0.001","15","1","0.0207","723"
"levelStarted","DRAW_TO_SAVE","56","15","0.001","15","1","0.0207","723"
"levelStarted","REMEMBER_FACE","4","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","41","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","93","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","77","15","0.001","15","1","0.0207","723"
"levelStarted","DRAW_TO_SAVE","27","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","48","15","0.001","15","1","0.0207","723"
"levelStarted","EASY","67","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","72","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","92","15","0.001","15","1","0.0207","723"
"levelStarted","EASY","56","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","67","15","0.001","15","1","0.0207","723"
"levelStarted","TRICKY","62","15","0.001","15","1","0.0207","723"
"levelStarted","MR_BULLET","66","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","38","14","0.0009","14","1","0.0194","723"
"levelStarted","CUT_TO_SAVE","16","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","69","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","54","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","37","14","0.0009","14","1","0.0194","723"
"levelStarted","TRICKY","81","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","83","14","0.0009","14","1","0.0194","723"
"levelStarted","CUT_TO_SAVE","19","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","51","14","0.0009","14","1","0.0194","723"
"levelStarted","CUT_TO_SAVE","14","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","77","14","0.0009","14","1","0.0194","723"
"levelStarted","TRICKY","109","14","0.0009","14","1","0.0194","723"
"levelStarted","REMEMBER_FACE","11","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","80","14","0.0009","14","1","0.0194","723"
"levelStarted","TRICKY","106","14","0.0009","14","1","0.0194","723"
"levelStarted","SAVE_CIVILIAN","3","14","0.0009","14","1","0.0194","723"
"levelStarted","EASY","96","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","45","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","65","14","0.0009","14","1","0.0194","723"
"levelStarted","DETECTIVE_CASES","27","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","69","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","42","14","0.0009","14","1","0.0194","723"
"levelStarted","TRICKY","74","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","93","14","0.0009","14","1","0.0194","723"
"levelStarted","EASY","73","14","0.0009","14","1","0.0194","723"
"levelStarted","DETECTIVE_CASES","75","14","0.0009","14","1","0.0194","723"
"levelStarted","EASY","61","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","51","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","34","14","0.0009","14","1","0.0194","723"
"levelStarted","TRICKY","14","14","0.0009","14","1","0.0194","723"
"levelStarted","TRICKY","67","14","0.0009","14","1","0.0194","723"
"levelStarted","CAR_PARK","11","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","73","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","30","14","0.0009","14","1","0.0194","723"
"levelStarted","REMEMBER_FACE","9","14","0.0009","14","1","0.0194","723"
"levelStarted","TRICKY","35","14","0.0009","14","1","0.0194","723"
"levelStarted","FLASHBACK","20","14","0.0009","14","1","0.0194","723"
"levelStarted","FLASHBACK","28","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","64","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","43","14","0.0009","14","1","0.0194","723"
"levelStarted","TRICKY","39","14","0.0009","14","1","0.0194","723"
"levelStarted","REMEMBER_FACE","13","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","58","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","46","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","25","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","60","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","37","14","0.0009","14","1","0.0194","723"
"levelStarted","DRAW_TO_SAVE","68","14","0.0009","14","1","0.0194","723"
"levelStarted","MR_BULLET","52","14","0.0009","14","1","0.0194","723"
